year,цена_общая,тип_d,тип_s,тип_t,тип_f,тип_o,новизна_y,новизна_n,duration_f,duration_l,город_london,город_manchester,город_bristol,город_birmingham,город_nottingham,ppd_тип_a,ppd_тип_b
1995,67946,104731,60266,51147,59026,883485,78757,66258,70779,56526,109157,44545,63564,51411,52900,67939,707211
1996,71520,108387,62239,53581,63935,142645,86306,69494,74152,60667,118689,45060,65420,51856,55336,71519,110359
1997,78549,117997,67861,59425,72318,1198081,94938,76469,81328,68018,136549,48292,71635,55791,58588,78537,1198081
1998,85447,129067,73230,64533,80776,137274,106109,82969,88375,74730,153003,51886,78619,58719,61702,85446,173632
1999,96050,142182,81121,72930,93668,87885,119716,93397,98820,85963,180671,54591,89150,63524,67556,96049,100962
2000,107500,160600,90127,81117,109033,182433,136046,104188,110182,98256,215878,59806,103152,70789,72456,107498,176556
2001,118899,177895,101525,89581,120017,247400,149210,115720,122002,107918,233006,67604,119230,80228,81241,118897,240775
2002,137966,207398,119619,103566,138247,54843,166317,135027,142012,124333,263714,81111,143686,94824,99392,137967,108491
2003,155906,239968,139938,117203,149927,157499,184800,152723,161843,136706,278431,94914,164962,119160,121839,155905,188739
2004,178909,270873,162611,137324,168583,2674884,200823,176475,186246,156309,304689,114490,180275,136272,138732,178835,1855007
2005,189377,291755,173543,148515,175085,143080,205063,187326,197782,164789,322959,127712,186346,141750,146522,189377,184072
2006,203545,308996,184583,162423,185558,439412,207703,203069,213060,175863,356226,141399,199116,150388,150497,203536,350908
2007,219384,336541,198135,176357,199134,114732,209446,220240,230612,189122,404077,149682,218713,154816,154359,219391,161935
2008,217141,336613,193974,173009,197141,568150,204604,218802,228586,187260,420787,141358,207866,151007,147366,217060,515489
2009,213413,309642,185723,173325,194900,122761,196211,215452,221911,185427,427830,137157,199466,141452,149996,213434,130058
2010,236120,340410,202871,191810,219572,350865,213687,238343,244458,208900,480308,139782,218338,149932,152933,236117,248221
2011,232819,332490,198793,190219,224002,795925,217391,234354,239533,210212,496357,140250,212695,146200,150826,232708,501376
2012,238402,328477,202110,198709,236367,684129,236283,238632,243307,221881,519557,142372,216810,147187,151983,238269,447459
2013,256955,335031,207327,205740,252143,2141997,255241,257136,260458,245680,616221,154385,230400,170641,171751,247220,652327
2014,280048,353338,216719,213611,266988,1898025,279637,280090,284053,268109,724252,175556,255038,200717,178234,260792,549208
2015,297413,367780,228637,222358,275280,1680846,298816,297245,302323,283255,792598,196044,286005,202627,187173,272028,548882
2016,313689,381964,238263,229301,287103,1046704,316963,313252,322780,288990,843609,203215,312657,216842,196307,282716,544401
2017,346958,397568,247073,232937,300411,1082392,335668,348446,351265,334249,983866,252268,369412,261285,226149,292964,652320
2018,351618,406782,252152,235969,299091,1131379,337794,353622,357662,332533,1018076,276988,362909,268930,270151,297513,644569
2019,355112,410999,254425,236240,300532,1187182,341201,357206,361574,333575,1050129,249039,388196,251950,231642,301873,621280
2020,377944,440076,272021,253801,321381,1255399,361859,380262,383840,356935,1056639,268167,400011,269331,286745,327137,643914
2021,389081,479152,295684,277360,315397,1219849,364421,391984,403492,338567,965948,301179,401883,292361,281621,349665,610280
2022,413559,521746,316068,293880,328316,1311583,384176,417612,434941,348377,1014175,312616,432218,308357,289328,369124,658363
2023,402789,517520,313079,283293,334903,1149321,400727,403039,419937,348782,1007811,313090,441777,303724,361148,367494,569791
2024,379706,506526,314947,289019,317310,1032711,385468,379386,397837,317222,908838,284850,416174,272723,277607,363436,467796
2025,350779,478802,317126,281267,288239,1151003,419062,350552,368433,284024,732233,264886,385105,256562,265151,349059,367863
2026,342036,468945,319967,281538,277160,1117850,402633,335404,358657,268215,714658,268936,369301,255879,288255,346495,489724
2027,344543,469451,323525,283851,253560,1104854,423179,324312,361032,229883,753155,274093,353758,255453,242211,349047,484952
2028,346811,469902,326840,285999,216958,1091858,423179,314361,363183,195857,613987,279251,340886,255086,288812,351405,481623
