year,type,old_new,duration,ppd_type,price_value,value_type,lower_ci,upper_ci
1995,D,Y,F,A,103715,historical,,
1996,D,Y,F,A,108654,historical,,
1997,D,Y,F,A,114936,historical,,
1998,D,Y,F,A,122895,historical,,
1999,D,Y,F,A,135631,historical,,
2000,D,Y,F,A,150106,historical,,
2001,D,Y,F,A,166806,historical,,
2002,D,Y,F,A,192606,historical,,
2003,D,Y,F,A,221390,historical,,
2004,D,Y,F,A,250946,historical,,
2005,D,Y,F,A,274662,historical,,
2006,D,Y,F,A,291569,historical,,
2007,D,Y,F,A,313824,historical,,
2008,D,Y,F,A,305692,historical,,
2009,D,Y,F,A,282637,historical,,
2010,D,Y,F,A,292876,historical,,
2011,D,Y,F,A,292188,historical,,
2012,D,Y,F,A,304801,historical,,
2013,D,Y,F,A,314412,historical,,
2014,D,Y,F,A,328262,historical,,
2015,D,Y,F,A,346795,historical,,
2016,D,Y,F,A,362858,historical,,
2017,D,Y,F,A,370321,historical,,
2018,D,Y,F,A,370274,historical,,
2019,D,Y,F,A,375692,historical,,
2020,D,Y,F,A,382487,historical,,
2021,D,Y,F,A,402487,historical,,
2022,D,Y,F,A,424717,historical,,
2023,D,Y,F,A,442015,historical,,
2024,D,Y,F,A,439307,historical,,
2025,D,Y,F,A,504689,historical,,
2026,D,Y,F,A,533287,forecast,499525,567050
2027,D,Y,F,A,556044,forecast,499236,612851
2028,D,Y,F,A,577968,forecast,499312,656625
2029,D,Y,F,A,599092,forecast,498438,699745
2030,D,Y,F,A,619443,forecast,496326,742559
2008,D,Y,F,B,181996,historical,,
2009,D,Y,F,B,207976,historical,,
2010,D,Y,F,B,161484,historical,,
2011,D,Y,F,B,114992,historical,,
2012,D,Y,F,B,68500,historical,,
2013,D,Y,F,B,262621,historical,,
2014,D,Y,F,B,263002,historical,,
2015,D,Y,F,B,279098,historical,,
2016,D,Y,F,B,339962,historical,,
2017,D,Y,F,B,338801,historical,,
2018,D,Y,F,B,314081,historical,,
2019,D,Y,F,B,303563,historical,,
2020,D,Y,F,B,329951,historical,,
2021,D,Y,F,B,340248,historical,,
2022,D,Y,F,B,371527,historical,,
2023,D,Y,F,B,348869,historical,,
2024,D,Y,F,B,336697,historical,,
2025,D,Y,F,B,325596,historical,,
2026,D,Y,F,B,348493,forecast,300505,396482
2027,D,Y,F,B,347577,forecast,295294,399860
2028,D,Y,F,B,346661,forecast,288060,405262
2029,D,Y,F,B,345745,forecast,278887,412602
2030,D,Y,F,B,344828,forecast,267976,421681
1995,D,Y,L,A,89013,historical,,
1996,D,Y,L,A,93096,historical,,
1997,D,Y,L,A,94003,historical,,
1998,D,Y,L,A,96331,historical,,
1999,D,Y,L,A,104565,historical,,
2000,D,Y,L,A,112314,historical,,
2001,D,Y,L,A,128180,historical,,
2002,D,Y,L,A,143134,historical,,
2003,D,Y,L,A,168126,historical,,
2004,D,Y,L,A,207190,historical,,
2005,D,Y,L,A,234901,historical,,
2006,D,Y,L,A,239308,historical,,
2007,D,Y,L,A,249860,historical,,
2008,D,Y,L,A,251134,historical,,
2009,D,Y,L,A,237794,historical,,
2010,D,Y,L,A,242209,historical,,
2011,D,Y,L,A,239514,historical,,
2012,D,Y,L,A,243710,historical,,
2013,D,Y,L,A,245276,historical,,
2014,D,Y,L,A,250218,historical,,
2015,D,Y,L,A,261661,historical,,
2016,D,Y,L,A,280235,historical,,
2017,D,Y,L,A,288160,historical,,
2018,D,Y,L,A,293367,historical,,
2019,D,Y,L,A,351068,historical,,
2020,D,Y,L,A,460294,historical,,
2021,D,Y,L,A,323537,historical,,
2022,D,Y,L,A,279189,historical,,
2023,D,Y,L,A,332543,historical,,
2024,D,Y,L,A,309255,historical,,
2025,D,Y,L,A,305794,forecast,224379,387209
2026,D,Y,L,A,313163,forecast,191018,435309
2027,D,Y,L,A,313163,forecast,177268,449058
2028,D,Y,L,A,313163,forecast,164788,461539
2029,D,Y,L,A,313163,forecast,153278,473048
1995,D,N,F,A,106062,historical,,
1996,D,N,F,A,109245,historical,,
1997,D,N,F,A,120022,historical,,
1998,D,N,F,A,132263,historical,,
1999,D,N,F,A,145519,historical,,
2000,D,N,F,A,166053,historical,,
2001,D,N,F,A,183131,historical,,
2002,D,N,F,A,213378,historical,,
2003,D,N,F,A,246769,historical,,
2004,D,N,F,A,277029,historical,,
2005,D,N,F,A,297208,historical,,
2006,D,N,F,A,313919,historical,,
2007,D,N,F,A,341597,historical,,
2008,D,N,F,A,343116,historical,,
2009,D,N,F,A,314055,historical,,
2010,D,N,F,A,345667,historical,,
2011,D,N,F,A,338775,historical,,
2012,D,N,F,A,334395,historical,,
2013,D,N,F,A,341144,historical,,
2014,D,N,F,A,360714,historical,,
2015,D,N,F,A,375653,historical,,
2016,D,N,F,A,390185,historical,,
2017,D,N,F,A,407104,historical,,
2018,D,N,F,A,417905,historical,,
2019,D,N,F,A,423074,historical,,
2020,D,N,F,A,456703,historical,,
2021,D,N,F,A,496836,historical,,
2022,D,N,F,A,550087,historical,,
2023,D,N,F,A,541307,historical,,
2024,D,N,F,A,520583,historical,,
2025,D,N,F,A,486215,historical,,
2026,D,N,F,A,472720,forecast,430693,514746
2027,D,N,F,A,467507,forecast,390505,544509
